Type,Car_Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Expedition,SUV,Riyadh,Ford,Automatic,Saudi,Standard,2014,5.4,143000,60000
GLE,SUV,Riyadh,Mercedes,Automatic,Other,Full,2020,6.9,24000,330000
Elantra,Sedan,Riyadh,Hyundai,Automatic,Other,Standard,2015,2.0,300,25000
Sonata,Sedan,Jeddah,Hyundai,Automatic,Saudi,Standard,2020,2.4,100,72910
Sedona,Minivan,Jeddah,Kia,Automatic,Other,Semi Full,2016,3.2,118000,65000
Victoria,Sedan,Khobar,Ford,Automatic,Saudi,Standard,2011,4.6,176000,50000
Prestige,Sedan,Riyadh,Genesis,Automatic,Saudi,Semi Full,2016,3.5,293000,77000
Tahoe,SUV,Aseer,Chevrolet,Automatic,Other,Semi Full,2008,5.3,300000,35000
CLA,Sedan,Riyadh,Mercedes,Automatic,Other,Full,2020,2.0,15000,410000
Grand Cherokee,SUV,Dammam,Jeep,Automatic,Saudi,Full,2013,5.7,77000,77000
Accent,Sedan,Jeddah,Hyundai,Automatic,Saudi,Standard,2018,1.4,127000,33000
Vanquish,Sports Car,Dammam,Aston Martin,Automatic,Saudi,Full,2013,6.0,32000,400000
Accent,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,81967,35500
ES,Sedan,Dammam,Lexus,Automatic,Saudi,Full,2013,1.6,263000,66000
Hilux,Pickup,Dammam,Toyota,Manual,Saudi,Full,2016,2.7,174172,65000
Hilux,Pickup,Jazan,Toyota,Manual,Saudi,Semi Full,2017,2.7,106737,75000
Safrane,Sedan,Jeddah,Renault,Automatic,Saudi,Full,2012,2.6,144000,20000
Cores,Sedan,Makkah,Kia,Manual,Saudi,Standard,2005,4.0,400,10000
Cadenza,Sedan,Dammam,Kia,Automatic,Gulf Arabic,Semi Full,2018,3.3,81000,70000
Silverado,Pickup,Dammam,Chevrolet,Automatic,Saudi,Standard,2018,5.3,127000,85000
Taurus,Sedan,Riyadh,Ford,Automatic,Saudi,Standard,2017,3.5,128439,76500
Sonata,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,2.4,69000,55000
