Type,Car_Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
911,Sports Car,Dammam,Porsche,Automatic,Saudi,Full,2013,3.5,26000,280000
Accent,Sedan,Dammam,Hyundai,Automatic,Saudi,Standard,2019,1.4,78000,40000
Camry,Sedan,Riyadh,Toyota,Automatic,Saudi,Full,2020,2.5,22000,77000
Land Cruiser,SUV,Jeddah,Toyota,Automatic,Gulf Arabic,Full,2019,4.0,106665,205000
Sierra,Pickup,Najran,GMC,Automatic,Other,Full,2014,5.3,235,72000
Optima,Sedan,Al-Medina,Kia,Automatic,Gulf Arabic,Full,2014,2.4,200,45000
Sentra,Sedan,Al-Ahsa,Nissan,Automatic,Gulf Arabic,Standard,2018,1.6,97000,39000
Accent,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.4,39750,40000
F150,Pickup,Qassim,Ford,Automatic,Gulf Arabic,Semi Full,2016,5.0,115000,93000
Suburban,SUV,Aseer,GMC,Automatic,Saudi,Semi Full,2004,5.3,135000,18500
Land Cruiser,SUV,Jeddah,Toyota,Automatic,Saudi,Full,2015,4.0,92000,165000
Elantra,Sedan,Jeddah,Hyundai,Automatic,Saudi,Full,2020,2.0,44000,61000
ES,Sedan,Al-Baha,Lexus,Automatic,Saudi,Standard,2009,3.6,300000,43000
Accent,Sedan,Dammam,Hyundai,Automatic,Saudi,Standard,2018,1.4,31000,35000
Corolla,Sedan,Jeddah,Toyota,Automatic,Saudi,Standard,2020,1.6,109885,57000
S,Sedan,Al-Medina,Mercedes,Automatic,Saudi,Full,2011,3.0,189,100000
Hilux,Pickup,Jazan,Toyota,Manual,Saudi,Full,2015,2.7,234000,56000
Sorento,SUV,Riyadh,Kia,Automatic,Saudi,Full,2015,3.5,116731,52000
Datsun,Sedan,Dammam,Nissan,Manual,Saudi,Semi Full,2016,2.4,39000,52000
Pathfinder,SUV,Riyadh,Nissan,Automatic,Saudi,Semi Full,2013,3.5,127000,38000
Rav4,SUV,Riyadh,Toyota,Automatic,Saudi,Full,2016,2.0,216000,60000
Datsun,Sedan,Aseer,Nissan,Manual,Saudi,Full,2015,2.4,28000,48000
Land Cruiser,SUV,Riyadh,Toyota,Automatic,Saudi,Full,2019,4.6,60000,240000
Escalade,SUV,Riyadh,Cadillac,Automatic,Saudi,Full,2009,6.2,219000,50000
Accent,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,1.4,69000,34000
Corolla,Sedan,Riyadh,Toyota,Automatic,Saudi,Standard,2018,1.6,90084,50000
CLA,Sedan,Riyadh,Mercedes,Automatic,Other,Standard,2020,2.0,20000,235000
6,Sedan,Jeddah,Mazda,Automatic,Saudi,Full,2019,2.5,50000,90000
Tahoe,SUV,Jeddah,Chevrolet,Automatic,Saudi,Standard,2012,5.3,297000,52000
Range Rover,SUV,Qassim,Land Rover,Automatic,Gulf Arabic,Semi Full,2015,5.0,103000,225000
Range Rover,SUV,Riyadh,Land Rover,Automatic,Saudi,Semi Full,2015,3.0,125000,165000
C,Sedan,Jeddah,Mercedes,Automatic,Saudi,Full,2014,1.8,148925,79500
Accent,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.4,102113,39500
Cadenza,Sedan,Riyadh,Kia,Automatic,Saudi,Standard,2016,3.5,130000,56000
Defender,SUV,Jeddah,Land Rover,Automatic,Saudi,Full,2021,3.0,100,450000
Corolla,Sedan,Riyadh,Toyota,Automatic,Saudi,Standard,2018,1.6,103966,43500
Camry,Sedan,Qassim,Toyota,Automatic,Gulf Arabic,Standard,2016,2.5,73000,61000
Pajero,SUV,Riyadh,Mitsubishi,Automatic,Saudi,Semi Full,2016,3.5,193000,45000
Corolla,Sedan,Khobar,Toyota,Automatic,Saudi,Standard,2018,2.0,245000,41000
Accord,Sedan,Riyadh,Honda,Automatic,Gulf Arabic,Semi Full,2016,2.4,80000,69000
X,Sedan,Riyadh,BMW,Automatic,Gulf Arabic,Full,2016,4.4,130341,161500
Elantra,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.6,91959,48500
Ciocca,Sedan,Najran,Toyota,Automatic,Saudi,Semi Full,2016,5.7,117000,140000
Land Cruiser,SUV,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2018,5.7,42000,241000
Caprice,Sedan,Riyadh,Chevrolet,Automatic,Saudi,Standard,2013,6.0,124628,75000
Pajero,SUV,Dammam,Mitsubishi,Automatic,Saudi,Semi Full,2017,3.5,159000,55000
Hilux,Pickup,Jeddah,Toyota,Manual,Saudi,Standard,2016,2.7,155000,75000
Daily,Truck,Riyadh,Iveco,Manual,Saudi,Standard,2018,3.0,116000,92000
Malibu,Sedan,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2017,2.5,176000,49000
Tahoe,SUV,Jeddah,Chevrolet,Automatic,Saudi,Standard,2017,5.3,136517,107000
Yukon,SUV,Riyadh,GMC,Automatic,Saudi,Full,2013,5.3,206000,90000
Range Rover,SUV,Riyadh,Land Rover,Automatic,Gulf Arabic,Full,2020,5.0,36000,540000
Sonata,Sedan,Riyadh,Hyundai,Automatic,Saudi,Full,2018,2.4,135000,58000
Terrain,SUV,Jeddah,GMC,Automatic,Saudi,Semi Full,2013,2.4,90000,35000
LX,SUV,Jeddah,Lexus,Automatic,Saudi,Full,2018,5.7,95000,355000
Nitro,SUV,Riyadh,Dodge,Automatic,Saudi,Full,2011,3.7,230000,17000
Yaris,Hatchback,Dammam,Toyota,Automatic,Saudi,Standard,2019,1.5,70000,39000
LS,Sedan,Taef,Lexus,Automatic,Saudi,Full,2012,1.8,150000,95000
Innova,MPV,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2016,2.7,190000,65000
CX9,SUV,Jeddah,Mazda,Automatic,Saudi,Full,2015,2.5,115000,82000
Pilot,SUV,Jeddah,Honda,Automatic,Saudi,Semi Full,2016,1.6,103000,85000
ES,Sedan,Jazan,Lexus,Automatic,Saudi,Standard,2021,2.5,13500,172500
S,Sedan,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,2015,3.0,53000,260000
LX,SUV,Abha,Lexus,Automatic,Saudi,Full,2014,5.7,342,150000
Innova,MPV,Jeddah,Toyota,Automatic,Saudi,Full,2017,2.7,130000,67000
Yukon,SUV,Al-Ahsa,GMC,Automatic,Saudi,Full,2014,6.2,36000,95000
Odyssey,Minivan,Riyadh,Honda,Automatic,Gulf Arabic,Standard,2016,2.4,87000,65000
Avalon,Sedan,Riyadh,Toyota,Automatic,Saudi,Standard,2015,3.5,249539,77500
Patrol,SUV,Dammam,Nissan,Automatic,Saudi,Semi Full,2014,5.6,200000,105000
RX,SUV,Jeddah,Lexus,Automatic,Saudi,Full,2015,3.5,49000,123000
RX,SUV,Riyadh,Lexus,Automatic,Saudi,Full,2016,3.5,104000,148000
Wrangler,SUV,Riyadh,Jeep,Automatic,Gulf Arabic,Full,2017,3.6,42000,110000
Sonata,Sedan,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2019,2.4,78000,62000
Prado,SUV,Dammam,Toyota,Automatic,Saudi,Semi Full,2016,4.0,97000,119000
Accent,Sedan,Al-Ahsa,Hyundai,Automatic,Saudi,Semi Full,2018,1.4,95000,41000
XJ,Sedan,Jeddah,Jaguar,Automatic,Saudi,Full,2015,3.0,57000,180000
Land Cruiser,SUV,Dammam,Toyota,Automatic,Gulf Arabic,Full,2021,4.6,10000,290000
Accord,Sedan,Al-Ahsa,Honda,Automatic,Saudi,Full,2016,3.5,183000,67000
CS75,SUV,Riyadh,Changan,Automatic,Saudi,Full,2019,1.8,83425,51500
Camry,Sedan,Riyadh,Toyota,Automatic,Gulf Arabic,Standard,2020,2.5,4443,84500
Senta fe,SUV,Aseer,Hyundai,Automatic,Saudi,Semi Full,2016,3.3,255000,51000
3,Sedan,Dammam,Mazda,Automatic,Gulf Arabic,Standard,2016,1.6,165000,45000
G80,Sedan,Riyadh,Genesis,Automatic,Saudi,Semi Full,2018,3.8,127000,93000
Innova,MPV,Riyadh,Toyota,Automatic,Saudi,Full,2015,2.7,195000,52000
G80,Sedan,Riyadh,Genesis,Automatic,Saudi,Semi Full,2016,3.8,165061,85500
Accent,Sedan,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017,1.6,103000,31000
Explorer,SUV,Al-Medina,Ford,Automatic,Saudi,Standard,2010,6.0,244,17500
Mohave,SUV,Al-Ahsa,Kia,Automatic,Saudi,Full,2014,3.8,200350,40000
Camry,Sedan,Riyadh,Toyota,Automatic,Saudi,Standard,2019,2.5,124004,65000
Land Cruiser,SUV,Jeddah,Toyota,Automatic,Saudi,Full,2018,5.7,126000,260000
ES,Sedan,Yanbu,Lexus,Automatic,Saudi,Full,2019,2.5,62000,195000
Azera,Sedan,Dammam,Hyundai,Automatic,Saudi,Full,2015,3.0,272783,36000
X,Sedan,Riyadh,BMW,Automatic,Saudi,Full,2015,3.0,98000,150000
Expedition,SUV,Riyadh,Ford,Automatic,Saudi,Semi Full,2016,5.4,109000,72000
Elantra,Sedan,Riyadh,Hyundai,Manual,Other,Semi Full,2011,2.0,290,12000
Avalon,Sedan,Khobar,Toyota,Automatic,Saudi,Standard,2019,3.5,47000,116000
Taurus,Sedan,Dammam,Ford,Automatic,Other,Full,2015,3.5,112000,81000
Prado,SUV,Dammam,Toyota,Automatic,Saudi,Semi Full,2020,4.0,17000,173000
Passat,Sedan,Jeddah,Volkswagen,Automatic,Saudi,Semi Full,2012,2.5,216000,22000
Camaro,Sports Car,Dammam,Chevrolet,Automatic,Other,Full,2018,3.6,118000,119000
Rav4,SUV,Dammam,Toyota,Automatic,Saudi,Standard,2012,2.5,234000,30000
E,Sedan,Makkah,Mercedes,Automatic,Saudi,Full,2020,2.0,10000,285000
Cerato,Sedan,Jazan,Kia,Automatic,Saudi,Semi Full,2015,1.6,190000,33000
KICKS,SUV,Riyadh,Nissan,Automatic,Saudi,Semi Full,2020,1.6,200,66000
S,Sedan,Dammam,Mercedes,Automatic,Other,Semi Full,2007,3.0,200000,75000
Cayenne,SUV,Riyadh,Porsche,Automatic,Saudi,Full,2019,3.6,36000,360000
Tahoe,SUV,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,200000,55000
Hilux,Pickup,Riyadh,Toyota,Automatic,Saudi,Full,2021,2.4,4000,158500
Sonata,Sedan,Aseer,Hyundai,Automatic,Saudi,Semi Full,2018,2.4,72000,65000
Range Rover,SUV,Al-Medina,Land Rover,Automatic,Saudi,Full,2010,5.0,188000,62000
Impala,Sedan,Riyadh,Chevrolet,Automatic,Gulf Arabic,Standard,2016,3.5,114000,65000
Cruze,Sedan,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2014,1.8,135020,24000
Corolla,Sedan,Tabouk,Toyota,Automatic,Saudi,Full,2015,1.6,90000,45000
Sonata,Sedan,Riyadh,Hyundai,Automatic,Saudi,Full,2019,2.4,5400,78000
Avalon,Sedan,Jeddah,Toyota,Automatic,Saudi,Full,2020,3.5,33000,164000
Malibu,Sedan,Qassim,Chevrolet,Automatic,Saudi,Standard,2018,2.0,135000,46500
Sunny,Sedan,Dammam,Nissan,Automatic,Saudi,Standard,2018,1.5,99000,26000
ES,Sedan,Riyadh,Lexus,Automatic,Saudi,Full,2020,3.5,33000,210000
C,Sedan,Dammam,Mercedes,Automatic,Gulf Arabic,Full,2016,2.0,129000,134000
Sportage,SUV,Riyadh,Kia,Automatic,Saudi,Standard,2019,1.6,69358,60500
Accent,Sedan,Dammam,Hyundai,Automatic,Saudi,Standard,2017,1.6,120000,30000
Tahoe,SUV,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2020,5.7,99000,145000
S,Sedan,Riyadh,Mercedes,Automatic,Saudi,Full,2014,3.0,90000,220000
Elantra,Sedan,Riyadh,Hyundai,Automatic,Other,Standard,2016,1.6,55000,48000
Mini Van,Minivan,Riyadh,Foton,Manual,Gulf Arabic,Standard,2017,2.7,145000,39500
Expedition,SUV,Riyadh,Ford,Automatic,Saudi,Semi Full,2014,5.4,150000,52000
Tucson,SUV,Jeddah,Hyundai,Automatic,Saudi,Standard,2018,2.0,120000,62000
LX,SUV,Dammam,Lexus,Automatic,Saudi,Full,2020,5.7,30000,468000
The 7,Sedan,Riyadh,BMW,Automatic,Saudi,Semi Full,2018,3.6,36000,230000
Avalon,Sedan,Aseer,Toyota,Automatic,Saudi,Full,2012,3.5,225000,75000
Sorento,SUV,Jubail,Kia,Automatic,Saudi,Full,2015,3.8,167160,43000
Hiace,Van,Dammam,Toyota,Manual,Saudi,Standard,2015,2.7,178000,60000
Tucson,SUV,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016,2.0,200000,39000
300,Sedan,Al-Ahsa,Chrysler,Automatic,Other,Full,2014,5.7,188000,57000
GL,SUV,Dammam,Mercedes,Automatic,Saudi,Full,2014,4.6,139000,135000
Mustang,Sports Car,Makkah,Ford,Automatic,Saudi,Full,2007,4.6,195,27000
Taurus,Sedan,Dammam,Ford,Automatic,Other,Semi Full,2017,3.5,61000,73000
Sonata,Sedan,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2020,2.5,22000,85000
Silverado,Pickup,Khobar,Chevrolet,Automatic,Gulf Arabic,Full,2019,5.3,77000,185000
Expedition,SUV,Riyadh,Ford,Automatic,Saudi,Standard,2016,3.5,103000,83000
LX,SUV,Riyadh,Lexus,Automatic,Saudi,Full,2018,1.0,105000,355000
FJ,SUV,Dammam,Toyota,Automatic,Saudi,Semi Full,2015,4.0,110000,115000
Grand Cherokee,SUV,Al-Ahsa,Jeep,Automatic,Other,Full,2011,5.7,266000,36000
Hilux,Pickup,Riyadh,Toyota,Manual,Gulf Arabic,Semi Full,2020,2.7,15000,105000
Senta fe,SUV,Khobar,Hyundai,Automatic,Saudi,Full,2015,3.3,246000,60000
Land Cruiser,SUV,Aseer,Toyota,Automatic,Saudi,Full,2011,4.6,434,85000
IS,Sedan,Dammam,Lexus,Automatic,Other,Full,2015,3.5,132000,106000
Elantra,Sedan,Jeddah,Hyundai,Automatic,Saudi,Standard,2018,1.6,144000,45000
Land Cruiser,SUV,Al-Ahsa,Toyota,Automatic,Saudi,Full,2015,4.7,137000,150000
Elantra,Sedan,Riyadh,Hyundai,Automatic,Saudi,Full,2016,2.0,4000,48000
Grand Cherokee,SUV,Abha,Jeep,Automatic,Saudi,Standard,2014,5.7,233000,50000
S,Sedan,Taef,Mercedes,Automatic,Gulf Arabic,Full,2015,1.8,113,240000
Sunny,Sedan,Al-Medina,Nissan,Automatic,Saudi,Standard,2019,1.5,89000,29000
Innova,MPV,Dammam,Toyota,Automatic,Saudi,Semi Full,2016,2.7,179600,51000
Hilux,Pickup,Dammam,Toyota,Manual,Gulf Arabic,Standard,2016,2.7,97173,64000
CX9,SUV,Riyadh,Mazda,Automatic,Saudi,Full,2015,3.7,217162,68500
Furniture,Other,Riyadh,Toyota,Automatic,Saudi,Full,2019,3.5,40000,120000
X,Sedan,Qassim,BMW,Automatic,Other,Full,2020,4.0,1000,410000
Accord,Sedan,Dammam,Honda,Automatic,Gulf Arabic,Full,2019,1.5,8200,107000
Camry,Sedan,Qassim,Toyota,Automatic,Saudi,Full,2017,2.5,253641,62000
Sonata,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,2.4,70676,59500
GS,Sedan,Riyadh,Lexus,Automatic,Gulf Arabic,Semi Full,2019,3.5,62000,170000
Camry,Sedan,Riyadh,Toyota,Automatic,Saudi,Full,2017,2.5,167000,80000
Innova,MPV,Jeddah,Toyota,Automatic,Saudi,Semi Full,2018,2.0,99000,64000
S300,Sedan,Jeddah,Chrysler,Automatic,Other,Semi Full,2015,3.6,106000,75000
RX8,SUV,Aseer,MG,Automatic,Saudi,Full,2021,2.0,4000,105000
Camry,Sedan,Riyadh,Toyota,Automatic,Saudi,Semi Full,2006,2.4,240000,20000
Tahoe,SUV,Jeddah,Chevrolet,Automatic,Saudi,Full,2010,5.3,250000,55000
Land Cruiser,SUV,Dammam,Toyota,Automatic,Gulf Arabic,Full,2019,4.6,6000,267000
Cadenza,Sedan,Riyadh,Kia,Automatic,Saudi,Semi Full,2021,3.5,32031,111500
Echo Sport,SUV,Riyadh,Ford,Automatic,Saudi,Standard,2016,1.5,217000,25000
LX,SUV,Taef,Lexus,Automatic,Saudi,Full,2014,5.0,100000,320000
Datsun,Sedan,Makkah,Nissan,Manual,Saudi,Standard,2015,1.9,142000,39000
Elantra,Sedan,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016,2.0,280,33000
Mustang,Sports Car,Dammam,Ford,Automatic,Other,Full,2016,2.3,84000,97000
Azera,Sedan,Riyadh,Hyundai,Automatic,Saudi,Full,2018,3.5,50000,85000
Impala,Sedan,Riyadh,Chevrolet,Automatic,Saudi,Standard,2018,3.6,110519,58500
S,Sedan,Dammam,Mercedes,Automatic,Saudi,Semi Full,2018,3.0,590,390000
Land Cruiser 70,SUV,Aseer,Toyota,Manual,Saudi,Full,2019,4.0,26000,130000
3,Sedan,Riyadh,MG,Manual,Saudi,Standard,2013,1.3,41000,15000
Grand Cherokee,SUV,Jubail,Jeep,Automatic,Saudi,Semi Full,2014,5.7,175000,70000
Range Rover,SUV,Al-Medina,Land Rover,Automatic,Saudi,Full,2017,5.2,77000,275000
Gran Max,Van,Riyadh,Daihatsu,Manual,Saudi,Standard,2014,1.5,254000,25000
Furniture,Other,Jeddah,Toyota,Automatic,Saudi,Standard,2014,2.7,127000,57000
Camry,Sedan,Jeddah,Toyota,Automatic,Saudi,Standard,2010,2.4,255,33500
Land Cruiser 70,SUV,Riyadh,Toyota,Manual,Gulf Arabic,Semi Full,2016,4.0,177000,90000
Camry,Sedan,Al-Ahsa,Toyota,Automatic,Saudi,Full,2016,2.5,300000,50000
Yukon,SUV,Makkah,GMC,Automatic,Saudi,Full,2007,4.7,300000,35000
E,Sedan,Riyadh,Mercedes,Automatic,Other,Standard,2019,2.0,38000,216000
Pegas,Sedan,Riyadh,Kia,Automatic,Saudi,Standard,2020,1.4,5300,37500
FJ,SUV,Riyadh,Toyota,Automatic,Saudi,Full,2015,1.0,190000,98000
Cayenne,SUV,Khobar,Porsche,Automatic,Saudi,Standard,2016,3.6,121,160000
Cores,Sedan,Jeddah,Kia,Automatic,Saudi,Full,2014,3.5,81000,78000
Hilux,Pickup,Riyadh,Toyota,Manual,Saudi,Standard,2015,2.7,300000,75000
Traverse,SUV,Jeddah,Chevrolet,Automatic,Saudi,Standard,2010,3.6,219,22000
Grand Vitara,SUV,Riyadh,Suzuki,Manual,Saudi,Semi Full,2013,2.0,16000,35000
FX,SUV,Jeddah,INFINITI,Automatic,Gulf Arabic,Full,2012,5.3,235000,59500
Attrage,Sedan,Jazan,Mitsubishi,Automatic,Saudi,Semi Full,2021,1.2,3000,35000
Expedition,SUV,Riyadh,Ford,Automatic,Saudi,Semi Full,2012,2.1,215000,25500
Patrol,SUV,Tabouk,Nissan,Manual,Gulf Arabic,Standard,2013,4.0,200,80000
Accent,Sedan,Dammam,Hyundai,Automatic,Saudi,Standard,2017,1.4,102000,27500
Charger,Sedan,Makkah,Dodge,Automatic,Gulf Arabic,Standard,2021,3.5,1700,110000
Sentra,Sedan,Riyadh,Nissan,Automatic,Saudi,Standard,2018,1.6,64000,36500
Accent,Sedan,Jeddah,Hyundai,Automatic,Saudi,Standard,2019,1.4,72000,36500
A8,Sedan,Riyadh,Audi,Automatic,Other,Full,2015,3.0,9400,110000
Yaris,Hatchback,Jeddah,Toyota,Automatic,Saudi,Semi Full,2016,1.5,155000,32000
Tucson,SUV,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016,2.0,157000,50000
L300,Van,Riyadh,Mitsubishi,Manual,Saudi,Standard,2014,2.0,120000,23000
Range Rover,SUV,Al-Medina,Land Rover,Automatic,Saudi,Full,2009,5.0,214000,85000
H1,Van,Al-Medina,Hyundai,Automatic,Saudi,Semi Full,2015,2.4,131000,42000
Patrol,SUV,Dammam,Nissan,Manual,Saudi,Standard,2006,4.0,106000,37000
Aveo,Sedan,Riyadh,Chevrolet,Automatic,Saudi,Standard,2017,1.5,118000,20000
Camry,Sedan,Riyadh,Toyota,Automatic,Saudi,Standard,2017,2.5,190144,54000
CLS,Sedan,Jeddah,Mercedes,Automatic,Saudi,Full,2014,3.5,88000,110000
A6,Sedan,Al-Medina,Audi,Automatic,Saudi,Semi Full,2018,3.0,92000,88000
Carnival,Minivan,Dammam,Kia,Automatic,Saudi,Semi Full,2016,3.3,243000,46000
Accent,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,69000,35000
Hilux,Pickup,Riyadh,Toyota,Manual,Gulf Arabic,Semi Full,2020,2.7,27000,104500
Land Cruiser,SUV,Dammam,Toyota,Automatic,Saudi,Full,2011,4.7,140000,110000
GL,SUV,Makkah,Mercedes,Automatic,Saudi,Full,2015,5.0,32000,183000
Accent,Sedan,Qassim,Hyundai,Manual,Saudi,Semi Full,2010,1.2,198,12000
D-MAX,Pickup,Riyadh,Isuzu,Manual,Saudi,Standard,2018,2.5,39000,72000
Yaris,Hatchback,Riyadh,Toyota,Automatic,Saudi,Standard,2018,1.5,62000,35000
Accent,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.4,93239,40500
Charger,Sedan,Riyadh,Dodge,Automatic,Saudi,Standard,2015,3.6,54300,63000
Explorer,SUV,Riyadh,Ford,Automatic,Other,Full,2013,3.5,111251,74000
Hilux,Pickup,Al-Namas,Toyota,Manual,Saudi,Full,2013,2.7,186,70000
Carnival,Minivan,Riyadh,Kia,Automatic,Gulf Arabic,Semi Full,2017,3.8,77000,58000
Expedition,SUV,Riyadh,Ford,Automatic,Gulf Arabic,Semi Full,2014,5.4,204000,45000
Patrol,SUV,Riyadh,Nissan,Automatic,Saudi,Full,2015,5.6,228000,130000
Pathfinder,SUV,Jeddah,Nissan,Automatic,Saudi,Standard,2014,3.5,24000,50000
Coaster,Bus,Dammam,Toyota,Manual,Saudi,Standard,2014,3.0,195000,75000
Taurus,Sedan,Jeddah,Ford,Automatic,Saudi,Full,2015,6.3,113220,82500
Tahoe,SUV,Riyadh,Chevrolet,Automatic,Saudi,Full,2012,5.3,281,65000
Accord,Sedan,Jeddah,Honda,Automatic,Saudi,Full,2012,3.5,225000,32000
Hilux,Pickup,Jeddah,Toyota,Manual,Gulf Arabic,Semi Full,2017,2.7,18000,77000
Discovery,SUV,Dammam,Land Rover,Automatic,Saudi,Full,2018,2.0,500,240000
Optima,Sedan,Riyadh,Kia,Automatic,Saudi,Semi Full,2015,2.4,173588,36500
Duster,SUV,Dammam,Renault,Automatic,Saudi,Standard,2016,2.0,157000,18000
LX,SUV,Makkah,Lexus,Automatic,Saudi,Full,2012,5.7,309,150000
Hilux,Pickup,Riyadh,Toyota,Manual,Gulf Arabic,Full,2014,2.4,290000,40000
Cruze,Sedan,Jeddah,Chevrolet,Automatic,Other,Full,2016,1.6,136000,25000
The 7,Sedan,Riyadh,BMW,Automatic,Gulf Arabic,Full,2017,1.4,90000,165000
Yukon,SUV,Riyadh,GMC,Automatic,Saudi,Full,2016,6.2,152000,122000
Sonata,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,2.4,49000,65000
Victoria,Sedan,Makkah,Ford,Automatic,Other,Semi Full,2011,4.6,150000,38000
Avalon,Sedan,Makkah,Toyota,Automatic,Saudi,Full,2011,3.5,150000,58000
The 7,Sedan,Riyadh,BMW,Automatic,Gulf Arabic,Full,2017,2.0,87000,175000
Corolla,Sedan,Aseer,Toyota,Automatic,Saudi,Standard,2017,1.6,110,46000
Optima,Sedan,Riyadh,Kia,Automatic,Saudi,Semi Full,2016,2.4,190000,42000
Prado,SUV,Al-Ahsa,Toyota,Automatic,Gulf Arabic,Full,2017,4.0,140000,125000
Expedition,SUV,Riyadh,Ford,Automatic,Saudi,Standard,2013,5.4,145000,38000
RX5,SUV,Riyadh,MG,Automatic,Saudi,Full,2020,2.0,7855,65500
Camry,Sedan,Riyadh,Toyota,Automatic,Saudi,Standard,2017,2.5,109862,59500
Taurus,Sedan,Riyadh,Ford,Automatic,Saudi,Standard,2018,2.0,78508,65000
Impala,Sedan,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2015,3.6,145462,55000
GS,Sedan,Riyadh,Lexus,Automatic,Saudi,Semi Full,2013,3.5,287000,85000
Datsun,Sedan,Riyadh,Nissan,Automatic,Saudi,Semi Full,2016,2.7,109766,50500
Taurus,Sedan,Dammam,Ford,Automatic,Saudi,Standard,2018,3.5,65000,76000
Camry,Sedan,Riyadh,Toyota,Automatic,Saudi,Full,2018,3.5,80000,95000
Odyssey,Minivan,Dammam,Honda,Automatic,Saudi,Standard,2015,3.5,192000,58000
Cadenza,Sedan,Riyadh,Kia,Automatic,Saudi,Standard,2016,3.3,145000,63000
Victoria,Sedan,Riyadh,Ford,Automatic,Saudi,Semi Full,2010,3.5,280000,26000
Hiace,Van,Dammam,Toyota,Manual,Saudi,Standard,2017,2.7,223000,77000
Camry,Sedan,Riyadh,Toyota,Automatic,Saudi,Standard,2017,2.4,133000,48000
Sonata,Sedan,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017,2.4,20000,36000
Escalade,SUV,Dammam,Cadillac,Automatic,Gulf Arabic,Semi Full,2016,6.2,130000,180000
A6,Sedan,Riyadh,Audi,Automatic,Saudi,Semi Full,2013,3.0,74924,71500
Maxima,Sedan,Riyadh,Nissan,Automatic,Gulf Arabic,Semi Full,2014,3.5,180,40000
Victoria,Sedan,Najran,Ford,Automatic,Saudi,Full,2011,4.6,128,48000
Sunny,Sedan,Riyadh,Nissan,Automatic,Saudi,Standard,2018,1.5,69000,28000
Innova,MPV,Dammam,Toyota,Automatic,Saudi,Standard,2020,2.7,50000,83000
Cadenza,Sedan,Tabouk,Kia,Automatic,Gulf Arabic,Full,2016,3.3,100,77000
Hilux,Pickup,Dammam,Toyota,Manual,Saudi,Full,2016,2.7,28000,95000
Odyssey,Minivan,Riyadh,Honda,Automatic,Saudi,Full,2016,6.0,189000,57000
Yaris,Hatchback,Riyadh,Toyota,Automatic,Saudi,Standard,2019,1.5,33504,38000
Yaris,Hatchback,Jeddah,Toyota,Automatic,Saudi,Standard,2018,1.5,114000,32000
Impala,Sedan,Al-Ahsa,Chevrolet,Automatic,Other,Full,2015,3.6,169000,72000
Ciocca,Sedan,Qassim,Toyota,Automatic,Saudi,Semi Full,2014,1.6,28000,75000
Pajero,SUV,Al-Medina,Mitsubishi,Automatic,Gulf Arabic,Full,2016,3.8,200,60000
Yukon,SUV,Riyadh,GMC,Automatic,Saudi,Semi Full,2008,1.6,250000,22000
FJ,SUV,Dammam,Toyota,Automatic,Saudi,Semi Full,2017,4.0,127000,117000
The 5,Sedan,Jeddah,BMW,Automatic,Saudi,Semi Full,2015,2.0,89000,80000
Sonata,Sedan,Aseer,Hyundai,Automatic,Saudi,Semi Full,2011,2.4,450,18000
Camry,Sedan,Riyadh,Toyota,Automatic,Saudi,Full,2017,2.5,166,55000
Silverado,Pickup,Jubail,Chevrolet,Automatic,Saudi,Semi Full,2018,5.3,112000,77000
Accent,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,68000,27000
Datsun,Sedan,Taef,Nissan,Manual,Other,Full,2015,2.4,261000,35000
H6,SUV,Jeddah,HAVAL,Automatic,Saudi,Full,2020,2.0,2000,69000
Land Cruiser Pickup,Pickup,Riyadh,Toyota,Manual,Saudi,Full,2018,4.0,81499,123000
Land Cruiser,SUV,Dammam,Toyota,Automatic,Saudi,Full,2021,4.6,20000,296000
Z370,Sedan,Jazan,Nissan,Automatic,Saudi,Semi Full,2015,3.7,111075,80000
